year,state_fips,state_abbr,state_name,county_fips,county_name,n1,n2,a00100,a00200,a00300,a00600
1989,01,AL,Alabama,107,Pickens,7431.0,17549.0,143330.0,115560.0,9535.0,997.0
1989,01,AL,Alabama,109,Pike,10073.0,22050.0,207600.0,161050.0,15896.0,3211.0
1989,01,AL,Alabama,111,Randolph,7676.0,17483.0,152400.0,126550.0,9448.0,1529.0
1989,01,AL,Alabama,113,Russell,19456.0,42936.0,403640.0,340340.0,16216.0,2718.0
1989,01,AL,Alabama,115,St. Clair,17789.0,41436.0,414330.0,342620.0,19669.0,2680.0
1989,01,AL,Alabama,117,Shelby,31969.0,74291.0,1028570.0,841580.0,51754.0,14439.0
1989,01,AL,Alabama,119,Sumter,5055.0,11803.0,93870.0,72740.0,5457.0,938.0
1989,01,AL,Alabama,121,Talladega,27865.0,64407.0,606890.0,502780.0,28245.0,6063.0
1989,01,AL,Alabama,123,Tallapoosa,16308.0,36048.0,365620.0,294780.0,22143.0,8067.0
1989,01,AL,Alabama,125,Tuscaloosa,54219.0,118604.0,1393440.0,1091100.0,86524.0,21520.0
1989,01,AL,Alabama,127,Walker,25636.0,59238.0,587050.0,473020.0,37936.0,6503.0
1989,01,AL,Alabama,129,Washington,5754.0,14386.0,125770.0,103520.0,5692.0,1286.0
1989,01,AL,Alabama,131,Wilcox,4174.0,10805.0,75740.0,60070.0,4860.0,1137.0
1989,01,AL,Alabama,133,Winston,8778.0,19864.0,167030.0,132210.0,11230.0,924.0
1989,02,AK,Alaska,000,ALASKA,231165.0,488586.0,7701930.0,5988620.0,288593.0,105308.0
1989,02,AK,Alaska,013,Aleutians Eas,630.0,1383.0,21550.0,9660.0,828.0,198.0
1989,02,AK,Alaska,016,Aleutians Wes,1920.0,4032.0,56740.0,51070.0,784.0,362.0
1989,02,AK,Alaska,020,Anchorage Bor,99974.0,203668.0,3570010.0,2872020.0,131612.0,49557.0
1989,02,AK,Alaska,050,Bethel,4538.0,10795.0,86940.0,75200.0,1452.0,1141.0
1989,02,AK,Alaska,060,Bristol Bay B,533.0,1096.0,16860.0,12520.0,438.0,175.0
1989,02,AK,Alaska,070,Dillingham,1552.0,3597.0,36250.0,24090.0,1296.0,644.0
